,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576
Run 1,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,12.39473474716715,12.39473474716715,12.39473474716715,12.39473474716715,12.39473474716715,12.39473474716715,12.39473474716715
Run 2,16.248841525671576,16.248841525671576,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,14.990411549088574,13.97645448130566,13.97645448130566,13.97645448130566,13.97645448130566,13.97645448130566,13.97645448130566,13.97645448130566
Run 3,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377,15.303514641666377
Run 4,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,14.294095128443589,14.294095128443589,14.294095128443589,13.07661654802943,13.07661654802943,13.07661654802943,13.07661654802943
