,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153
Run 1,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.11875434,16.11875434,16.11875434,14.64041933,14.64041933,14.64041933,14.64041933,14.64041933,14.64041933,14.64041933
Run 2,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.0781767,16.0781767,16.0781767,14.25641932,14.25641932,14.25641932,8.953273834,8.953273834,8.953273834,8.953273834
Run 3,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623,16.23883623
Run 4,16.24884153,16.24884153,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,14.56209782,7.941955155,7.941955155,7.941955155,7.941955155
