,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,-0.188095005,-0.188095005,-0.188095005,-0.188095005,-0.188095005,-0.188095005,-0.188095005,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847,-0.414640847
Run 1,-0.188095005,-0.188095005,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721,-0.387227721
Run 2,-0.188095005,-0.188095005,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857,-0.335159857
Run 3,-0.188095005,-0.188095005,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554,-0.362009554
Run 4,-0.188095005,-0.188095005,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919,-0.366377919
