,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,22.097603,22.097603,22.097603,22.097603,22.097603,22.097603,22.097603,22.097603,22.097603,22.097603,16.248842,16.248842,16.248842,16.248842,16.248842,16.248842,16.248842,16.248842,16.248842,16.248842
Run 1,21.084239,21.084239,21.084239,21.084239,21.084239,21.084239,21.084239,21.084239,21.084239,21.084239,21.084239,21.084239,20.238132,20.238132,20.238132,20.238132,20.238132,20.238132,20.238132,20.238132
Run 2,19.841698,19.841698,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843,14.255843
Run 3,20.956855,20.956855,20.956855,20.956855,20.956855,20.956855,18.509015,18.509015,18.509015,18.509015,18.509015,18.509015,18.095026,18.095026,18.095026,18.095026,18.095026,18.095026,18.095026,18.095026
Run 4,18.642061,18.642061,15.394347,15.394347,15.394347,15.394347,15.394347,15.394347,15.394347,15.394347,15.394347,15.394347,15.394347,14.228177,14.228177,14.228177,8.320531,8.320531,8.320531,8.320531
