,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,-0.1880950053146648,-0.1880950053146648,-0.1880950053146648,-0.1880950053146648,-0.1880950053146648,-0.1880950053146648,-0.1880950053146648,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946,-0.4146408472088946
Run 1,-0.1880950053146648,-0.1880950053146648,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247,-0.3872277207706247
Run 2,-0.1880950053146648,-0.1880950053146648,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359,-0.3351598571070359
Run 3,-0.1880950053146648,-0.1880950053146648,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416,-0.3620095539887416
Run 4,-0.1880950053146648,-0.1880950053146648,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356,-0.3663779190873356
