,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576
Run 1,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576
Run 2,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,14.939798288098473,14.939798288098473,14.939798288098473,14.939798288098473,14.939798288098473,14.939798288098473,14.939798288098473
Run 3,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,16.248841525671576,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256,15.160408043538256
Run 4,16.248841525671576,16.248841525671576,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,14.791722151928903,12.86121491067148,12.86121491067148,12.86121491067148,12.86121491067148,12.86121491067148,12.86121491067148,12.86121491067148
