,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,2.063303,2.063303,2.063303,2.063303,2.063303,2.063303,2.063303,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641,-0.414641
Run 1,2.0255,2.0255,2.0255,2.0255,2.0255,2.0255,2.0255,2.0255,2.0255,2.0255,2.0255,2.0255,-0.197541,-0.197541,-0.197541,-0.197541,-0.197541,-0.197541,-0.197541,-0.197541
Run 2,2.011972,2.011972,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598,-0.298598
Run 3,2.1329,2.1329,2.1329,2.1329,2.1329,0.050774,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086,-0.27086
Run 4,2.207008,2.207008,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827,-0.311827
