,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
Run 0,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,15.55061231,15.55061231,12.71399694,12.71399694,12.71399694,12.67162062,10.88827061,10.88827061,10.88827061
Run 1,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153
Run 2,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153
Run 3,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.24884153,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819,16.14292819
Run 4,16.24884153,16.24884153,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,15.25434346,12.94732547,12.94732547,8.562264449,8.562264449,8.562264449,8.562264449
